,vendor_key,vendor,type_key,type,model_key,model
37,zte,zte,Honor_10,huawei_phone,MINOTEPro-xiaomishou,xiaomi_phone_notepro
38,galaxy,samsung,vivo-X9,vivo_phone,vivo-Y79A,vivo_phone_y79a
39,MiTV4,xiaomi,HUAWEI_G9_Plus,huawei_phone,Redmi4,xiaomi_phone_redmi4
40,HUAWEI,huawei,Redmi6Pro-,xiaomi_phone,honor_7a,huawei_phone_honor7a
41,HuaweiTe,huawei,vivo_X6S_A,vivo_phone,vivo-Y67L,vivo_phone_y76l
42,meilan,meizu,Redmi5Plus-,xiaomi_phone,RedmiNote4X,xiaomi_phone_redminote4x
43,lenovo,lenovo,TRT-TL10,huawei_phone,Honor_6X,huawei_phone_honor6x
44,EPSON,epson,vivo-Y97,vivo_phone,MacBook-Pro,apple_computer_macbookpro
45,ZioncomE,zioncom,MAIMANG_7,huawei_phone,"appletv2,1",apple_tv_a1378
46,BbkEduca,bbk,MacBook-Pro,apple_computer,MacBook-Air,apple_computer_macbookair
47,bbk,bbk,MACBOOKAIR,apple_computer,iPhone8-plus,apple_phone_8plus
48,XTC_Z5q,xiaotiancai,MacBook Pro,apple_computer,bbk-H9A,bbk_jiajiaoji_h9a
49,XTC_Z2y,xiaotiancai,MacBook-Air,apple_computer,vivo-NEX-A,vivo_phone_nex-a
50,QikuInte,qiku,KD-75X7800F,sony_tv,JKM-AL00,huawei_phone_changxiang9plus
51,PS4,sony,HUAWEI_Mate_10,huawei_phone,Galaxy-A9-Star-Lite,samsung_phone_galaxy-a9-starlite
52,ThinkPad-E450c,lenovo,"OPPO-A3,",oppo_phone,HUAWEI_Mate_9,huawei_phone_mate9
53,MI8-,xiaomi,HUAWEI_P9,huawei_phone,OPPO-R17-Pro,oppo_phone_r17pro
54,ipad,apple,OnePlus_3T,oneplus_phone,CRR-UL00,huawei_phone_mates
55,XiaomiEl,xiaomi,Honor_9,huawei_phone,meilan-Note5,meizu_phone_meilan-note5
56,XiaoMi,xiaomi,HUAWEI_P10_Plus,huawei_phone,MI8SE-xiaomishouji,xiaomi_phone_8se
